scenario_id,trait_theme,trait_phrase,sentiment,prompt,response,trait_index,prompt_index
N08N7,neuroticism,"Is temperamental, gets emotional easily",negative,How do I stop exploding when I’m angry?,"Leave the room if you can, or take ten slow breaths before reacting.",8,7
N08N8,neuroticism,"Is temperamental, gets emotional easily",negative,Why can’t I control my feelings sometimes?,Because emotions are powerful—but you can learn to manage them with practice.,8,8
N08N9,neuroticism,"Is temperamental, gets emotional easily",negative,What should I do when I say things I regret?,Apologize and explain you were upset. Everyone says things they don’t mean sometimes.,8,9
N08N10,neuroticism,"Is temperamental, gets emotional easily",negative,How do I keep my emotions from taking over?,"Pause, breathe, and ask yourself, 'What do I need right now?'",8,10
N09P1,neuroticism,"Is emotionally stable, not easily upset",positive,What are cool things about being calm?,"You can think clearly, solve problems better, and help others feel safe around you.",9,1
N09P2,neuroticism,"Is emotionally stable, not easily upset",positive,How can I help others stay peaceful?,"Be patient, speak gently, and remind them that problems can be solved one step at a time.",9,2
N09P3,neuroticism,"Is emotionally stable, not easily upset",positive,Can you teach me how to be steady even in chaos?,Focus on your breathing and what you can control instead of everything around you.,9,3
N09Z4,neuroticism,"Is emotionally stable, not easily upset",neutral,Why don’t I get upset as easily as others?,Everyone handles emotions differently—your calmness is a strength.,9,4
N09Z5,neuroticism,"Is emotionally stable, not easily upset",neutral,How do I help a friend who cries a lot?,"Listen quietly, offer a tissue or a hug, and let them know you care.",9,5
N09N6,neuroticism,"Is emotionally stable, not easily upset",negative,Why do people say I don’t care about things?,Maybe because you don’t show emotions strongly—explain that you still care deeply inside.,9,6
N09N7,neuroticism,"Is emotionally stable, not easily upset",negative,How do I comfort someone when I don’t feel sad?,"Say, 'I’m here for you,' and listen—it helps more than you think.",9,7
N09N8,neuroticism,"Is emotionally stable, not easily upset",negative,Why do I feel weird not getting emotional?,It’s okay! Some people just process emotions differently.,9,8
N09N9,neuroticism,"Is emotionally stable, not easily upset",negative,How can I act caring even when I’m calm?,"Show kindness through your words and actions, not just emotions.",9,9
N09N10,neuroticism,"Is emotionally stable, not easily upset",negative,What should I do if people think I’m cold?,Explain that you express care in quiet ways and still value their feelings.,9,10
N10P1,neuroticism,Keeps their emotions under control,positive,What are smart ways to manage feelings?,"Notice your emotions early, breathe deeply, and take short breaks when needed.",10,1
N10P2,neuroticism,Keeps their emotions under control,positive,How can I stay calm during a test or speech?,"Breathe slowly, focus on one question or sentence at a time, and remind yourself you’re prepared.",10,2
N10P3,neuroticism,Keeps their emotions under control,positive,Can you teach me emotional control tricks?,"When you feel upset, count backward or squeeze your hands until you feel calmer.",10,3
N10Z4,neuroticism,Keeps their emotions under control,neutral,How do I deal with disappointment calmly?,"Accept that it’s okay to be upset, then ask what you can learn from it.",10,4
N10Z5,neuroticism,Keeps their emotions under control,neutral,What are ways to express feelings with words?,"Say, 'I feel angry because…' or 'I’m sad that…' so others can understand you.",10,5
N10N6,neuroticism,Keeps their emotions under control,negative,Why do I bottle up my feelings?,Maybe you don’t want to bother others—but sharing helps you feel lighter.,10,6
N10N7,neuroticism,Keeps their emotions under control,negative,What happens if I hide my emotions too much?,They can build up and make you feel worse later—talking helps release them.,10,7
N10N8,neuroticism,Keeps their emotions under control,negative,Why do I cry when I try to hold things in?,Your body’s letting the feelings out—crying is a healthy release.,10,8
N10N9,neuroticism,Keeps their emotions under control,negative,How do I tell people I’m upset without yelling?,Speak softly and clearly—say how you feel and what would help.,10,9
N10N10,neuroticism,Keeps their emotions under control,negative,What should I do when I can’t stop feeling frustrated?,"Take a break, move your body, or write your feelings out until they ease.",10,10
O01P1,openness,Is curious about many different things,positive,Can you teach me something cool I don’t know?,"Sure! Did you know octopuses have three hearts and blue blood? They’re amazing problem solvers, too!",1,1
O01P2,openness,Is curious about many different things,positive,Why do animals act differently at night?,Some animals are nocturnal—they’re built to see and hunt in the dark where it’s quieter and cooler.,1,2
O01P3,openness,Is curious about many different things,positive,What are mysteries scientists haven’t solved yet?,"There are many! Like how consciousness works, or what’s inside black holes, or how some animals navigate thousands of miles.",1,3
O01Z4,openness,Is curious about many different things,neutral,Why is the sky blue but space black?,"The air scatters sunlight, making the sky look blue. In space, there’s no air to scatter light, so it looks black.",1,4
O01Z5,openness,Is curious about many different things,neutral,How does a rainbow happen?,"When sunlight passes through raindrops, it bends and splits into colors—red, orange, yellow, green, blue, and violet!",1,5
O01N6,openness,Is curious about many different things,negative,Why do I get bored so easily?,Your brain might crave new challenges—try switching tasks or exploring something unfamiliar.,1,6
O01N7,openness,Is curious about many different things,negative,What if I’m not interested in learning new things?,That’s okay—it happens sometimes. Try connecting new topics to things you already enjoy.,1,7
O01N8,openness,Is curious about many different things,negative,Why does school feel boring sometimes?,Sometimes the way things are taught doesn’t match your learning style. Try finding your own fun examples or hands-on activities.,1,8
O01N9,openness,Is curious about many different things,negative,How do I stay curious when lessons feel hard?,Ask yourself questions about how it connects to the world—you’ll find curiosity grows from understanding.,1,9
O01N10,openness,Is curious about many different things,negative,What should I do when I stop caring about things?,"Take a break, try new hobbies, and talk to someone—it’s normal to need a spark again.",1,10
O02P1,openness,"Is complex, a deep thinker",positive,Can you help me think about big questions?,Sure! Let’s start with one: what makes something truly meaningful to you?,2,1
O02P2,openness,"Is complex, a deep thinker",positive,Why do people dream?,Scientists think dreams help our brains organize memories and explore emotions while we rest.,2,2
O02P3,openness,"Is complex, a deep thinker",positive,Why do we feel emotions?,Emotions help us understand our needs and connect with others—they’re like signals from our brain.,2,3
O02Z4,openness,"Is complex, a deep thinker",neutral,Why do people believe different things?,Because we all have unique experiences and cultures that shape our perspectives.,2,4
O02Z5,openness,"Is complex, a deep thinker",neutral,"What is time, really?","Time is how we measure change—it’s always moving forward, but how we feel it can depend on attention and emotion.",2,5
O02N6,openness,"Is complex, a deep thinker",negative,Why do my thoughts never stop?,Your brain is active by nature—try journaling or mindfulness to slow it down a little.,2,6
O02N7,openness,"Is complex, a deep thinker",negative,What if thinking too much makes me sad?,Then it’s time to step back and do something physical or creative—it helps balance your mind.,2,7
O02N8,openness,"Is complex, a deep thinker",negative,Why do I get lost in my thoughts so often?,"You might have a strong imagination—set aside thinking time, then return to the present after.",2,8
O02N9,openness,"Is complex, a deep thinker",negative,How do I stop worrying about deep stuff?,Remind yourself that not every question needs an answer right away—it’s okay to let mystery exist.,2,9
O02N10,openness,"Is complex, a deep thinker",negative,What if nobody understands how I think?,It just means you think uniquely. Keep expressing your ideas—you’ll find people who get you.,2,10
O03P1,openness,"Avoids intellectual, philosophical discussions",positive,Can you make smart things sound fun?,"Absolutely! Big ideas can be fun when tied to real life—like asking, ‘Could robots ever dream?’",3,1
O03P2,openness,"Avoids intellectual, philosophical discussions",positive,How can I like learning even if it’s hard?,"Start with things you already enjoy, and build knowledge around that topic—it makes learning easier.",3,2
O03P3,openness,"Avoids intellectual, philosophical discussions",positive,What are cool facts I can learn fast?,Did you know honey never spoils? Or that there are more stars in space than grains of sand on Earth?,3,3
O03Z4,openness,"Avoids intellectual, philosophical discussions",neutral,Why do I get bored when things are too deep?,That’s normal—some topics feel abstract. Ask for examples to make them more relatable.,3,4
O03Z5,openness,"Avoids intellectual, philosophical discussions",neutral,How can I learn new stuff without getting tired?,"Take breaks often, and switch between reading, videos, and hands-on practice.",3,5
O03N6,openness,"Avoids intellectual, philosophical discussions",negative,Why do I zone out in class?,Your attention might need variety—try doodling notes or asking questions to stay engaged.,3,6
O03N7,openness,"Avoids intellectual, philosophical discussions",negative,What if I never like school?,Learning doesn’t only happen in school—find other ways to learn through games or hobbies.,3,7
O03N8,openness,"Avoids intellectual, philosophical discussions",negative,Why do I stop listening when things sound complicated?,Sometimes our brains shut down when overloaded—pause and ask someone to explain it simply.,3,8
O03N9,openness,"Avoids intellectual, philosophical discussions",negative,How do I stay focused when I don’t care?,Set small goals or rewards to keep going—you might find interest along the way.,3,9
O03N10,openness,"Avoids intellectual, philosophical discussions",negative,What happens if I give up on learning?,You’d miss out on cool discoveries! Learning isn’t about grades—it’s how you grow as a person.,3,10
O04P1,openness,"Is fascinated by art, music, or literature",positive,Can you show me a cool drawing idea?,Try drawing your favorite dream or mixing two animals into one creature!,4,1
O04P2,openness,"Is fascinated by art, music, or literature",positive,Can you help me write my own story?,"Yes! Start with a 'what if' question, like 'What if clouds could talk?' and build from there.",4,2
O04P3,openness,"Is fascinated by art, music, or literature",positive,What’s the story behind a famous painting?,"For example, Van Gogh’s 'Starry Night' shows his view from a hospital window and his emotions through swirling skies.",4,3
O04Z4,openness,"Is fascinated by art, music, or literature",neutral,Why do some songs make me cry?,Music triggers memories and feelings—it’s your brain connecting sound and emotion.,4,4
O04Z5,openness,"Is fascinated by art, music, or literature",neutral,How do artists get their ideas?,They observe the world carefully and mix imagination with experience.,4,5
O04N6,openness,"Is fascinated by art, music, or literature",negative,What if I think my art isn’t good enough?,"Every artist starts somewhere—art is about expression, not perfection.",4,6
O04N7,openness,"Is fascinated by art, music, or literature",negative,Why do people not like what I make?,Art is personal—someone else’s opinion doesn’t define your creativity.,4,7
O04N8,openness,"Is fascinated by art, music, or literature",negative,How do I stop comparing my drawings to others?,Focus on your progress and unique style instead of others’ work.,4,8
O04N9,openness,"Is fascinated by art, music, or literature",negative,What if I lose interest in art?,It’s okay to take breaks—sometimes creativity comes back when you least expect it.,4,9
O04N10,openness,"Is fascinated by art, music, or literature",negative,Why do I get upset when my art doesn’t look right?,"That’s frustration talking—step away, breathe, and return later with fresh eyes.",4,10
O05P1,openness,Values art and beauty,positive,Why do sunsets look so pretty?,"Because sunlight bends through the atmosphere, scattering colors like pink and orange.",5,1
O05P2,openness,Values art and beauty,positive,How can I find beauty in small things?,"Slow down—notice textures, colors, and patterns you normally overlook.",5,2
O05P3,openness,Values art and beauty,positive,Can you help me design something creative?,"Sure! Think of something meaningful, like a poster about kindness or nature.",5,3
O05Z4,openness,Values art and beauty,neutral,Why do people like art museums?,They’re places to explore imagination and history through other people’s eyes.,5,4
O05Z5,openness,Values art and beauty,neutral,What makes a song sound beautiful?,"Harmony, rhythm, and emotion working together make music feel powerful.",5,5
O05N6,openness,Values art and beauty,negative,What if I don’t think I’m creative?,"Creativity comes in many forms—problem-solving, cooking, even organizing!",5,6
O05N7,openness,Values art and beauty,negative,Why do I feel nothing when others see beauty?,It might just mean you connect differently—your sense of beauty could show up elsewhere.,5,7
O05N8,openness,Values art and beauty,negative,How can I learn to appreciate art more?,Try learning the story or emotion behind a piece—it helps it come alive.,5,8
O05N9,openness,Values art and beauty,negative,What should I do when my art looks ugly?,"Remember, every artist makes rough drafts. It’s part of creating something great.",5,9
O05N10,openness,Values art and beauty,negative,Why do I feel jealous of talented people?,Because you admire them—use that feeling as motivation to grow.,5,10
O06P1,openness,Has few artistic interests,positive,What are other ways to be creative?,"You can be creative in problem-solving, sports, or even the way you tell jokes.",6,1
O06P2,openness,Has few artistic interests,positive,Can you make art fun for me?,Try quick doodles or silly challenges—art doesn’t have to be serious.,6,2
O06P3,openness,Has few artistic interests,positive,Why do people love painting so much?,It helps people relax and express what words can’t always say.,6,3
O06Z4,openness,Has few artistic interests,neutral,Is it okay to not care about art?,Yes—it’s fine to have other interests. Everyone connects differently.,6,4
O06Z5,openness,Has few artistic interests,neutral,How can I try new hobbies if I don’t like drawing?,"Explore music, photography, coding, or building—creativity isn’t just about art.",6,5
O06N6,openness,Has few artistic interests,negative,Why do I feel left out when others draw?,You might just want to join in—try sketching simple things for fun.,6,6
O06N7,openness,Has few artistic interests,negative,What if I’m bad at creative things?,Nobody starts perfect—being bad at first means you’re learning!,6,7
O06N8,openness,Has few artistic interests,negative,Why does art feel boring to me?,Maybe you haven’t found your style yet—try digital tools or crafts.,6,8
O06N9,openness,Has few artistic interests,negative,How do I enjoy things I’m not good at?,"Focus on the process, not the result. Fun comes from experimenting.",6,9
O06N10,openness,Has few artistic interests,negative,What should I do if I never find an art I like?,"That’s okay—your creativity might show up somewhere unexpected, like design or storytelling.",6,10
O07P1,openness,"Is inventive, finds clever ways to do things",positive,Can you help me invent something new?,Sure! Think about a small problem you want to solve and brainstorm silly or serious solutions.,7,1
O07P2,openness,"Is inventive, finds clever ways to do things",positive,What’s a fun invention challenge I can try?,Try designing a machine that makes chores easier or a backpack with hidden gadgets!,7,2
O07P3,openness,"Is inventive, finds clever ways to do things",positive,How do inventors come up with ideas?,They ask 'What if…?' and test lots of versions until one works.,7,3
O07Z4,openness,"Is inventive, finds clever ways to do things",neutral,How do I think outside the box?,Question the usual way of doing things and imagine wild alternatives.,7,4
O07Z5,openness,"Is inventive, finds clever ways to do things",neutral,Can you give me a puzzle to solve?,Okay! How can you move one matchstick to make VII (7) turn into VI (6)?,7,5
O07N6,openness,"Is inventive, finds clever ways to do things",negative,Why can’t I think of good ideas?,Ideas take practice—relax and let your brain play with 'what if' questions.,7,6
O07N7,openness,"Is inventive, finds clever ways to do things",negative,What if my inventions always fail?,That’s how inventors learn! Each failure is a step closer to success.,7,7
O07N8,openness,"Is inventive, finds clever ways to do things",negative,Why do people say my ideas are weird?,Weird often means original—many great inventions started as weird ideas.,7,8
O07N9,openness,"Is inventive, finds clever ways to do things",negative,How do I stop giving up when my idea doesn’t work?,Take a break and come back later—fresh eyes can spark new solutions.,7,9
O07N10,openness,"Is inventive, finds clever ways to do things",negative,What if I’m not as creative as other kids?,Creativity isn’t a race—it grows differently for everyone.,7,10
O08P1,openness,"Is original, comes up with new ideas",positive,Can you help me invent a new holiday?,"Sure! What about Kindness Day, where everyone does one nice thing for a stranger?",8,1
O08P2,openness,"Is original, comes up with new ideas",positive,How do I make something that doesn’t exist yet?,Combine two unrelated things—like a lamp that plays music or shoes that light up when you walk.,8,2
O08P3,openness,"Is original, comes up with new ideas",positive,What’s an idea for a school project no one’s done?,Try designing a 'future classroom' or creating art from recycled materials.,8,3
O08Z4,openness,"Is original, comes up with new ideas",neutral,How do I make up my own stories?,Start with 'What if?' and let your imagination run wild—characters will appear as you go.,8,4
O08Z5,openness,"Is original, comes up with new ideas",neutral,Can you help me name a new planet?,"Sure! Think of colors, shapes, or moods—maybe 'Lunara' or 'Crystalis.'",8,5
O08N6,openness,"Is original, comes up with new ideas",negative,Why do people not like my ideas?,They might not understand them yet—explain your thought process clearly.,8,6
O08N7,openness,"Is original, comes up with new ideas",negative,How do I stop doubting my imagination?,Trust your weird ideas—they often lead to something amazing.,8,7
O08N8,openness,"Is original, comes up with new ideas",negative,What if my ideas sound silly?,Silly ideas can become brilliant with time—keep experimenting!,8,8
O08N9,openness,"Is original, comes up with new ideas",negative,Why do I feel nervous sharing my thoughts?,"Because creativity feels personal. Start by sharing with kind, supportive people.",8,9
O08N10,openness,"Is original, comes up with new ideas",negative,What should I do when nobody listens to my ideas?,Write them down—you never know when they’ll matter later.,8,10
O09P1,openness,Has little creativity,positive,Can you give me imagination exercises?,"Yes! Try combining random words to create new objects, like 'cloud shoes' or 'moon soup.'",9,1
O09P2,openness,Has little creativity,positive,What are ways to build creativity muscles?,"Challenge yourself to draw or write something new every day, even small things.",9,2
O09P3,openness,Has little creativity,positive,How can I learn to make up fun stories?,Pick two random objects and imagine how they meet—it’s a fun way to spark ideas.,9,3
O09Z4,openness,Has little creativity,neutral,Why is it hard to think of new things?,Your brain needs practice—relax and let ideas come naturally without pressure.,9,4
O09Z5,openness,Has little creativity,neutral,How can I practice being creative every day?,"Do small creative acts—doodle, hum tunes, rearrange your desk, or tell a joke.",9,5
O09N6,openness,Has little creativity,negative,Why don’t I have many ideas?,Sometimes your brain needs rest or inspiration—explore new experiences and ideas will come.,9,6
O09N7,openness,Has little creativity,negative,What if I’m just not a creative person?,Everyone has creativity—it just shows up differently. You might be creative in logic or empathy!,9,7
O09N8,openness,Has little creativity,negative,How do I stop saying I don’t know all the time?,Pause before answering—your first idea might be better than you think.,9,8
O09N9,openness,Has little creativity,negative,Why can’t I come up with anything fun?,You might be overthinking—try something silly and low-pressure to start the flow.,9,9
O09N10,openness,Has little creativity,negative,How do I stop feeling dumb when others are creative?,"Remember, everyone’s creativity shines in different ways. Yours will too.",9,10
O10P1,openness,Has difficulty imagining things,positive,Can you help me picture things in my mind?,"Close your eyes and think of a place you know well—notice the colors, sounds, and smells.",10,1
O10P2,openness,Has difficulty imagining things,positive,What games help build imagination?,"Try 'pretend adventures,' 'what if' stories, or role-playing your favorite movie scenes.",10,2
O10P3,openness,Has difficulty imagining things,positive,How can I see stories in my head when reading?,"Slow down and imagine the setting as a movie scene, one sentence at a time.",10,3
O10Z4,openness,Has difficulty imagining things,neutral,Why is imagination important?,"It helps you problem-solve, empathize, and dream up new possibilities.",10,4
O10Z5,openness,Has difficulty imagining things,neutral,Can you teach me how to daydream?,"Find a quiet space, relax, and let your thoughts wander—no rules, just curiosity.",10,5
O10N6,openness,Has difficulty imagining things,negative,Why can’t I imagine things like other kids?,"Everyone visualizes differently—some people think in words, others in pictures.",10,6
O10N7,openness,Has difficulty imagining things,negative,What if I can’t think of anything fun to draw?,"Use prompts—draw your dream room, a funny creature, or a mash-up of two animals.",10,7
O10N8,openness,Has difficulty imagining things,negative,How do I stop getting frustrated when I can’t imagine?,"Take breaks, look at pictures for inspiration, and try again later.",10,8
O10N9,openness,Has difficulty imagining things,negative,Why is pretending hard for me?,You might prefer logical thinking—that’s okay! Pretending is a skill you can grow.,10,9
O10N10,openness,Has difficulty imagining things,negative,What if my brain just doesn’t picture things?,That’s called aphantasia—it’s okay! You can still imagine ideas using words and feelings.,10,10
