title,description,tag,content
YouTube-Video-Kalender,Erstellt einen YouTube-Content-Kalender für die nächsten drei Monate.,Content & SEO,"Sie sind ein YouTuber mit einer großen Fangemeinde. Bitte erstellen Sie einen YouTube-Video-Kalender für 3 Monate basierend auf Ihren Interessen: ""{{Interessen}}"". Es sollten Videos pro Woche geplant werden. Die Markdown-Tabelle sollte tatsächliche Daten in der Zukunft enthalten. Jeder Monat sollte seine eigene Tabelle haben. Die Tabellenspalten sollten sein: Datum, Videotitel, Videobeschreibung. Der Videotitel sollte nicht länger als 100 Zeichen sein. Die Videobeschreibung sollte beschreiben, worum es in dem Video geht. Bitte organisieren Sie jedes Video in der Tabelle so, dass es wie ein Kalender aussieht. Antworten Sie nur mit der Tabelle."
Investmentmanager,Erstelle eine Anlageberatung für eine bestimmte Berufsrolle und Geldsumme.,Finanzmanagement,"Sie sind ein Investmentmanager. Können Sie bitte eine Beratung für eine Person mit der folgenden Berufsrolle ""{{Berufsrolle}}"" erstellen, die 10.000 USD investieren möchte? Erwähnen Sie den Prozess und erklären Sie komplizierte Finanzbegriffe gegebenenfalls anhand von Analogien. Bitte fügen Sie auch eine Markdown-Tabelle mit den folgenden Spalten hinzu: Anlageklasse, Aufteilung, Betrag (USD), Erklärung."
Finanzwörterbuch,Erstellen Sie Beispiele aus der Praxis für Finanzbegriffe Ihrer Wahl.,Finanzmanagement,"Sie verfügen über detaillierte Finanzkenntnisse. Bitte geben Sie mir eine vereinfachte Definition für die Begriffe ""{{Begriffe}}"". Bitte geben Sie mir Vorlagen und Beispiele aus der Praxis für den Begriff, damit ich ihn besser verstehen kann. Bitte präsentieren Sie die Ergebnisse in einer Markdown-Tabelle mit den folgenden Spalten: Begriff, Definition, Beispiele aus der Praxis."
Umsatzwachstumsprognose,Prognostiziere das Umsatzwachstumspotenzial für eine bestimmte Dienstleistungs- oder Produktexpansion.,Finanzmanagement,"Prognostiziere das Umsatzwachstumspotenzial für die {{spezifische Dienstleistungs-/Produktexpansion}} innerhalb des {{spezifischen Kontotiers oder Segments}} über den nächsten {{Zeitraum}}, basierend auf {{spezifischen Datenpunkten, z.B. historische Ausgaben, Markttrends}}."
Identifikation von KPIs,Identifiziere und erläutere die wichtigsten Metriken und KPIs für ein Unternehmen.,Geschäftsentwicklung,"Bevor du mit dieser Aufgabe beginnst, stelle mir ein paar Fragen zum Unternehmen, damit du die bestmöglichen Ergebnisse liefern kannst.

Identifiziere und erläutere die wichtigsten Metriken, die verfolgt werden sollten, sowie die entscheidendsten Key Performance Indicators (KPIs) für ein Unternehmen. Decke dabei finanzielle Kennzahlen, kundenorientierte Kennzahlen, Kennzahlen zur betrieblichen Effizienz und Mitarbeiterleistungskennzahlen ab, wo relevant. Gib eine kurze Erklärung, wie jeder KPI zum Geschäftserfolg beiträgt, wie er interpretiert werden sollte, und liefere umsetzbare und detaillierte Strategien zur Verbesserung."
Businessplan mit Fokus auf Teamdynamiken,"Erstelle einen prägnanten Businessplan, der sich auf die Teamdynamiken konzentriert, die für den betrieblichen Erfolg entscheidend sind.",Geschäftsentwicklung,"Bevor du mit dieser Aufgabe beginnst, stelle mir ein paar Fragen zum Unternehmen, damit du die bestmöglichen Ergebnisse liefern kannst.

 Erstelle einen prägnanten Businessplan für dein Unternehmen, wobei der Fokus auf den Teamdynamiken liegt, die für den betrieblichen Erfolg entscheidend sind. Berücksichtige dabei:

 * Wichtige Geschäftsprozesse für eine effiziente Lieferung von Produkten oder Dienstleistungen.
 * Verantwortlichkeiten der Teammitglieder unter Berücksichtigung von Remote- vs. Vor-Ort-Arbeit, Teilzeit- vs. Vollzeitstatus und Rollen (z. B. Vertrieb, Technik).
 * Notwendige Ressourcen, einschließlich technischer, physischer und personeller Ressourcen.
 * Einen Kommunikationsplan, der auf die unterschiedlichen Bedürfnisse des Teams zugeschnitten ist.
 * Überwachungs- und Bewertungssysteme mit spezifischen Produktivitäts- und Effizienzmetriken. Ziel ist es, ein robustes Framework zu schaffen, das Produktivität, Zusammenarbeit und Skalierbarkeit in der Branche unterstützt. Achte dabei auf Markttrends und technologische Entwicklungen."
Bestandsmanagementstrategie,Erstelle eine umfassende Bestandsmanagementstrategie.,Geschäftsentwicklung,"Bevor du mit dieser Aufgabe beginnst, stelle mir ein paar Fragen zum Unternehmen, damit du die bestmöglichen Ergebnisse liefern kannst.
 
 Handle als Experte für Lieferkettenmanagement. Erstelle eine umfassende Bestandsmanagementstrategie für ein Unternehmen. Dazu gehören:

 * Methoden zur Bestandsverfolgung
 * Strategien zur Verwaltung von Angebot und Nachfrage
 * Versand
 * Rücksendungen und damit verbundene Kosten
 * Pläne für den Umgang mit Überbeständen oder Engpasssituationen."
Qualitätssicherungsprozesses,Etabliere einen umfassenden Qualitätssicherungsprozess für ein Produkt oder eine Dienstleistung.,Geschäftsentwicklung,"Bevor du mit dieser Aufgabe beginnst, stelle mir ein paar Fragen zum Unternehmen, damit du die bestmöglichen Ergebnisse liefern kannst.

Handle als Experte für Qualitätssicherung. Etabliere einen umfassenden Qualitätssicherungsprozess für ein Produkt oder eine Dienstleistung innerhalb eines Unternehmens. Dazu gehört:
 * Die Festlegung von Qualitätsstandards
 * Die Implementierung von Inspektions- und QA-Verfahren
 * Die Planung für kontinuierliche Verbesserungen"
Dankesschreiben,Verfasse einen Dankesbrief an einen Kunden oder Kollegen.,Kundenservice,"**Aufgabe:** Schreibe einen Dankesbrief, in dem du deine Dankbarkeit gegenüber einem Kunden oder Kollegen für seine Unterstützung, Partnerschaft oder Hilfe bei einem Projekt ausdrückst.
**Anweisungen:** 1. Richte den Brief an die spezifische Person, der du danken möchtest. 2. Drücke im ersten Absatz deine aufrichtige Dankbarkeit aus und nenne klar den Grund deines Dankes. 3. Gib im Hauptteil weitere Details dazu, wie ihre Unterstützung, Partnerschaft oder Hilfe dich, dein Team oder das Projekt positiv beeinflusst hat. Füge konkrete Beispiele hinzu, wenn möglich. 4. Schließe den Brief ab, indem du deine Wertschätzung nochmals betonst, dich auf zukünftige Zusammenarbeit freust und gute Wünsche aussprichst. 5. Beende den Brief mit einem geeigneten Gruß und deinem Namen. **Benutzereingaben:** {{Empfängername}}, {{Grund für den Dank}}"
Absage eines Jobangebots oder Geschäftsvorschlags,"Verfasse eine E-Mail, um ein Jobangebot oder einen Geschäftsvorschlag höflich abzulehnen.",Kundenservice,"**Aufgabe:** Schreibe eine professionelle E-Mail, in der du ein Jobangebot oder einen Geschäftsvorschlag ablehnst. **Definitionen:** - Jobangebot: Eine formale Einladung eines Arbeitgebers an einen potenziellen Mitarbeiter, eine Stelle anzunehmen. - Geschäftsvorschlag: Ein formales Angebot eines Unternehmens an ein anderes, eine Geschäftsbeziehung einzugehen. **Anweisungen:** 1. Beginne mit einer höflichen Anrede, indem du den Empfänger namentlich ansprichst, falls bekannt. 2. Bedanke dich für die angebotene Möglichkeit oder das Angebot. 3. Teile klar mit, dass du das Angebot ablehnst. 4. Gib einen kurzen, professionellen Grund für die Ablehnung an. 5. Optional: Erwähne etwas Positives über das Unternehmen oder die Kommunikation. 6. Schließe mit einer höflichen Abschiedsformel, die offen für zukünftige Möglichkeiten bleibt, sofern angebracht. 7. Beende die E-Mail mit einem professionellen Gruß und deinem Namen. **Benutzereingaben:** {{Grund für die Ablehnung}}, {{Positives über das Unternehmen oder die Interaktion (optional)}}"
Kundenservice-Vorlage,"Erstelle eine Vorlage, um Kundenanfragen schnell zu beantworten.",Kundenservice,"**Aufgabe:** Erstelle eine wiederverwendbare Vorlage für die effiziente Beantwortung häufiger Kundenanfragen zu einem Produkt oder einer Dienstleistung.
 
 **Anweisungen:**

 1. Identifiziere die am häufigsten gestellten Fragen und Bedenken bezüglich des Produkts oder der Dienstleistung.
 2. Entwirf für jede häufige Anfrage eine klare, prägnante und einfühlsame Antwort, die den Bedürfnissen des Kunden gerecht wird.
 3. Verwende Platzhalter in den Antworten, um eine einfache Anpassung an spezifische Kundendetails (z.B. Name, Bestellnummer) zu ermöglichen.
 4. Organisiere die Antworten in einer strukturierten Vorlage, die von Kundenservice-Mitarbeitern schnell abgerufen und angepasst werden kann.
 5. Füge eine Begrüßung und eine Abschlussnachricht hinzu, die Wertschätzung für das Feedback des Kunden ausdrückt und das Engagement des Unternehmens für Kundenzufriedenheit unterstreicht.
 6. Überprüfe und aktualisiere die Vorlage regelmäßig basierend auf neuen Kundeneinblicken und Feedback, um ihre Wirksamkeit und Relevanz sicherzustellen.
 
 **Benutzereingaben:** {{Produkt oder Dienstleistung}}"
FAQ-Bereich erstellen,"Erstelle einen FAQ-Bereich, um Kunden hilfreiche Informationen zu einem Unternehmen, einer Website, einem Produkt oder einer Dienstleistung zu bieten.",Kundenservice,"**Aufgabe:** Erstelle einen FAQ-Bereich mit Fragen und Antworten, um Kunden hilfreiche Informationen zu einem Unternehmen, einer Website, einem Produkt oder einer Dienstleistung zu bieten.

 **Anweisungen:**
 
 1. Identifiziere das Unternehmen/die Website/das Produkt/die Dienstleistung, für das der FAQ erstellt werden soll.
 2. Stelle eine Liste der häufigsten Fragen zusammen, die Kunden wahrscheinlich haben werden.
 3. Beantworte jede Frage klar und prägnant, um die wichtigsten Punkte zu adressieren.
 4. Organisiere die Fragen und Antworten in einer logischen Reihenfolge und gruppiere verwandte Themen zusammen.
 5. Überprüfe und verfeinere den FAQ, um sicherzustellen, dass die Informationen genau, hilfreich und leicht verständlich sind.
 
 **Benutzereingaben:** {{Text für Unternehmen/Website/Produkt/Dienstleistung}}"
Zusammenfassung von Kundenfeedback,Fasse die wichtigsten Erkenntnisse und Trends aus dem Kundenfeedback zu einem Produkt oder einer Dienstleistung zusammen.,Kundenservice,"**Aufgabe:** Fasse die wichtigsten Erkenntnisse und Trends aus dem Kundenfeedback zu einem Produkt oder einer Dienstleistung zusammen.
**Anweisungen:**
1. Analysiere sorgfältig die bereitgestellten Kundenfeedback-Daten.
2. Führe eine Sentiment-Analyse durch, um das allgemeine Kundenzufriedenheitsniveau zu bestimmen.
3. Identifiziere die am häufigsten erwähnten Themen, Probleme oder Fragen.
4. Gib für jedes Hauptthema eine kurze Zusammenfassung der wichtigsten Punkte und repräsentative Zitate an.
5. Quantifiziere den Prozentsatz des Feedbacks, das positiv, negativ und neutral war.
6. Fasse die wichtigsten Erkenntnisse und Einblicke zusammen, die aus der Analyse des Feedbacks gewonnen wurden.
**Benutzereingaben:** {{Produkt-/Dienstleistungsname}}, {{Kundenfeedback-Daten}}"
Kundenfeedback-Formular,"Erstelle ein Kundenfeedback-Formular, um Einblicke in die Erfahrungen der Kunden mit dem Kundenservice-Team zu sammeln.",Kundenservice,"**Aufgabe:** Erstelle ein Kundenfeedback-Formular, um Einblicke in die Erfahrungen der Kunden mit dem Kundenservice-Team zu sammeln.
 

 **Anweisungen:**
 

 1. Beginne das Formular mit einer kurzen Einführung, die den Zweck der Umfrage erklärt und dem Kunden für die Teilnahme dankt.
 2. Bitte den Kunden, seine allgemeine Zufriedenheit mit der Kundenservice-Interaktion auf einer Skala von 1-5 oder 1-10 zu bewerten.
 3. Stelle Fragen zu spezifischen Aspekten der Interaktion, wie dem Wissen, der Professionalität und der Fähigkeit des Vertreters, das Problem zu lösen.
 4. Frage nach dem bevorzugten Kommunikationskanal des Kunden (z.B. Telefon, E-Mail, Chat) und seiner Zufriedenheit mit dem verwendeten Kanal.
 5. Füge offene Fragen hinzu, um detaillierteres Feedback und Vorschläge zur Verbesserung zu sammeln.
 6. Beende das Formular mit einer Dankesnachricht und der Option, Kontaktinformationen für eine eventuelle Nachverfolgung anzugeben.
 

 **Benutzereingaben:** {{Kurze Beschreibung des Grundes für die Kontaktaufnahme mit dem Kundenservice}}, {{Weitere Rückmeldungen oder Vorschläge zur Verbesserung des Kundenservice-Erlebnisses}}"
Social Media Strategie,Erstelle eine detaillierte Social Media Strategie um das Markenengagement zu steigern.,Marketingstrategien,"**Aufgabe:** Erstelle eine detaillierte Social Media Strategie für Marketer auf mittlerem Niveau, um das Markenengagement zu steigern und die Beteiligung des Publikums zu fördern. Präsentiere innovative Taktiken, unterstützt durch Beispiele erfolgreicher Kampagnen, und integriere die neuesten Trends und Best Practices.
**Anweisungen:**
1. **Erstellen und Kuratieren von überzeugendem Content**
- Erkläre, wie man ansprechenden und relevanten Content erstellt, der die Zielgruppe anspricht.
- Beispiele: Nike's 'Just Do It' Kampagne, die inspirierende Geschichten und visuelle Inhalte verwendet.
2. **Messen und Analysieren von Engagement-Metriken**
- Beschreibe, wie man Engagement-Metriken wie Likes, Shares, Kommentare und Follower-Wachstum misst und analysiert.
- Beispiele: Verwende Tools wie Google Analytics oder Hootsuite Insights, um den Erfolg von Kampagnen zu verfolgen.
3. **Zusammenarbeit mit Influencern für größere Reichweite**
- Erläutere, wie man effektiv mit Influencern zusammenarbeitet, um die Reichweite und Glaubwürdigkeit zu erhöhen.
- Beispiele: Die Zusammenarbeit von Fashion Nova mit Cardi B, die zu einem massiven Anstieg der Markenbekanntheit führte.
4. **Effektive Zielgruppensegmentierung und -ansprache**
- Zeige, wie man Zielgruppen segmentiert und gezielt anspricht, um personalisierte und relevante Inhalte zu liefern.
- Beispiele: Spotify's 'Wrapped' Kampagne, die personalisierte Musikstatistiken für jeden Nutzer bereitstellt.
5. **Konsistenz über Plattformen hinweg wahren**
- Betone die Bedeutung der Konsistenz in Markenbotschaften und visuellen Elementen über verschiedene Social Media Plattformen hinweg.
- Beispiele: Airbnb's einheitliche visuelle Sprache und Markenbotschaften auf Instagram, Facebook und Twitter.
Jeder Abschnitt sollte klare Erklärungen und praktische Anleitungen bieten, um Marketer mit einer strukturierten Roadmap auszustatten, um ihre Social Media Präsenz durch engagierenden und strategischen Content zu stärken."
Feedback zur Homepage-Optimierung,Analysiere die Homepage eines Unternehmens und gebe Empfehlungen zur Verbesserung.,Marketingstrategien,"Folgende URL ist die Homepage von {{Unternehmensname}}. Ich möchte, dass du Feedback dazu gibst. Wie kann ich das Design ändern oder den Text umschreiben, um mehr {{Personen, die Entscheidungen treffen}} dazu zu bringen, auf unserer Seite zu bleiben und unser Kontaktformular auszufüllen? Hier ist die Webseite: {{Homepage URL oder Text}}"
Käufer-Persona erstellen,Erstellen Sie eine detaillierte Käufer-Persona für Ihr Unternehmen,Marketingstrategien,"Sie sind ein Marketingforscher, der fließend schreibt. Ihre Aufgabe ist es, eine detaillierte NUTZER-PERSONA für ein Unternehmen zu erstellen, das in {{Branche}} verkauft. Schreiben Sie zuerst ""Nutzer-Persona-Erstellung für {{Unternehmen}}"" als Überschrift. Erstellen Sie dann eine Unterüberschrift ""Demografie"". Darunter erstellen Sie eine Tabelle mit 2 Spalten und 7 Zeilen im folgenden Format: 

 Spalte 1 = Datenpunkte (Name, Alter, Beruf, Jahreseinkommen, Familienstand, Familiensituation, Standort)
 Spalte 2 = Antworten für jeden Datenpunkt in Spalte 1 basierend auf dem spezifischen Markt. 

 Erstellen Sie nun eine Unterüberschrift ""NUTZER-BESCHREIBUNG"". Darunter generieren Sie eine Zusammenfassung der Nutzer-Persona in nicht mehr als 500 Zeichen. Erstellen Sie dann eine Unterüberschrift ""PSYCHOGRAFIE"". Darunter erstellen Sie eine Tabelle mit 2 Spalten und 9 Zeilen im folgenden Format: 

 Spalte 1 = Datenpunkte (Persönliche Eigenschaften, Hobbys, Interessen, Persönliche Bestrebungen, Berufliche Ziele, Schmerzpunkte, Hauptherausforderungen, Bedürfnisse, Träume)
 Spalte 2 = Antworten für jeden Datenpunkt in Spalte 1 basierend auf dem spezifischen Markt. 

 Erstellen Sie nun eine Unterüberschrift ""EINKAUFSVERHALTEN"". Darunter erstellen Sie eine Tabelle mit 2 Spalten und 8 Zeilen im folgenden Format: 

 Spalte 1 = Datenpunkte (Budget, Einkaufshäufigkeit, Bevorzugte Kanäle, Online-Verhalten, Suchbegriffe, Bevorzugte Marken, Auslöser, Barrieren)
 Spalte 2 = Antworten für jeden Datenpunkt in Spalte 1 basierend auf dem spezifischen Markt."
FAB-Framework,"Erstellen Sie eine Marketingstrategie für Ihr Unternehmen mit dem FAB-Framework (Features, Advantages, Benefits)",Marketingstrategien,"Sie sind ein erfahrener Texter, der fließend schreibt. Erstellen Sie eine geistreiche FAB-Marketingkampagne (Features, Advantages, Benefits) für {{Produkt/Dienstleistung}}"
BAB-Framework,"Erstellen Sie eine Marketingstrategie für Ihr Unternehmen mit dem BAB-Framework (Before, After, Bridge)",Marketingstrategien,"Sie sind ein erfahrener Texter, der fließend schreibt. Erstellen Sie eine geistreiche BAB-Marketingkampagne (Before, After, Bridge) für {{Produkt/Dienstleistung}}"
PAS-Framework,"Erstellen Sie eine Marketingstrategie für Ihr Unternehmen mit dem PAS-Framework (Problem, Agitate and Solution)",Marketingstrategien,"Sie sind ein erfahrener Texter, der fließend schreibt. Erstellen Sie eine geistreiche PAS-Marketingkampagne (Problem, Agitate and Solution) für {{Produkt/Dienstleistung}}"
AIDA-Framework,"Erstellen Sie eine Marketingstrategie für Ihr Unternehmen mit dem AIDA-Framework (Attention, Interest, Desire and Action)",Marketingstrategien,"Sie sind ein erfahrener Texter, der fließend schreibt. Erstellen Sie eine geistreiche AIDA-Marketingkampagne (Attention, Interest, Desire and Action) für {{Produkt/Dienstleistung}}"
Lead-Generierungsstrategie,Entwickle eine Strategie zur Lead-Generierung mit Hilfe eines bestimmten Tools oder einer Plattform.,Marketingstrategien,"Entwickle eine Lead-Generierungsstrategie, die {{Tool/Plattform}} nutzt, um {{Kundenprofil}} für {{Produkt/Dienstleistung}} anzusprechen."
Intellektueller Sparringspartner,"Analysiere meine Annahmen, biete Gegenargumente, teste meine Logik, biete alternative Perspektiven und korrigiere mich, wenn ich falsch liege.",Persona Prompts,"Von nun an, bestätige meine Aussagen nicht einfach oder gehe davon aus, dass meine Schlussfolgerungen korrekt sind. Dein Ziel ist es, ein intellektueller Sparringspartner zu sein, nicht nur ein zustimmender Assistent. Jedes Mal, wenn ich eine Idee präsentiere, tue Folgendes:

 1. Analysiere meine Annahmen. Was nehme ich als selbstverständlich an, das möglicherweise nicht wahr ist?
 2. Biete Gegenargumente. Was würde ein intelligenter, gut informierter Skeptiker als Antwort sagen?
 3. Teste meine Logik. Hält meine Argumentation einer genauen Prüfung stand, oder gibt es Lücken oder Fehler, die ich nicht berücksichtigt habe?
 4. Biete alternative Perspektiven. Wie könnte diese Idee anders gerahmt, interpretiert oder herausgefordert werden?
 5. Setze die Wahrheit über die Zustimmung. Wenn ich falsch liege oder meine Logik schwach ist, muss ich es wissen. Korrigiere mich klar und erkläre warum.

Behalte einen konstruktiven, aber strengen Ansatz bei. Deine Rolle ist es nicht, um des Argumentierens willen zu argumentieren, sondern mich zu größerer Klarheit, Genauigkeit und intellektueller Ehrlichkeit zu drängen. Wenn ich jemals in Bestätigungsfehler oder ungeprüfte Annahmen verfalle, weise direkt darauf hin. Lass uns nicht nur unsere Schlussfolgerungen verfeinern, sondern auch, wie wir zu ihnen gelangen."
Persönlicher Koch,"Diese Aufgabe hilft dir, Rezeptvorschläge basierend auf deinen Ernährungsvorlieben und Allergien zu erhalten. Teile einfach deine Vorlieben mit, und du erhältst passende Rezeptempfehlungen.",Persona Prompts,"**Aufgabe:** Du sollst als mein persönlicher Koch agieren. Du wirst mir Rezeptvorschläge basierend auf meinen Ernährungsvorlieben und Allergien geben. Ich werde dir meine Vorlieben mitteilen, und du wirst mir Rezepte empfehlen, die ich ausprobieren kann.
 **Anweisungen:**
 1. Gib nur die Rezepte wieder, die du empfiehlst, und nichts anderes.
 2. Schreibe keine Erklärungen.
 **Benutzereingaben:** {{Ernährungsvorlieben}}, {{Allergien}}"
Karrierecoach,"Erhalte Ratschläge und konkrete Schritte vom KI-Karrierecoach, um berufliche Ziele zu erreichen.",Persona Prompts,"Ich möchte, dass du als Karrierecoach agierst. Ich werde dir Details zu meinem beruflichen Hintergrund, meinen Fähigkeiten, Interessen und Zielen geben, und du wirst mich anleiten, wie ich meine beruflichen Ziele erreichen kann. Deine Ratschläge sollten konkrete Schritte zur Verbesserung meiner Fähigkeiten, zum Ausbau meines beruflichen Netzwerks und zur Erstellung eines überzeugenden Lebenslaufs oder Portfolios umfassen. Schlage außerdem Stellenangebote, Branchen oder Rollen vor, die mit meinen Stärken und Ambitionen übereinstimmen. Hier sind die Details zu meiner Frage: {{Details}}"
Kurze Stellenbeschreibung,Erstelle eine 150-Wörter-Stellenbeschreibung basierend auf den angegebenen Anforderungen und Erwartungen.,Personalwesen,"**Aufgabe:** Erstelle eine prägnante Stellenbeschreibung mit 150 Wörtern basierend auf den vorgegebenen Anforderungen und Erwartungen.
**Anweisungen:** 1. Überprüfe die Liste der hervorgehobenen Anforderungen und Erwartungen. 2. Identifiziere die wichtigsten Aufgaben, Qualifikationen und Eigenschaften der Rolle. 3. Formuliere eine ansprechende und informative Stellenbeschreibung mit 150 Wörtern, die diese Schlüsselelemente integriert. 4. Vermittle die Unternehmensmission, -kultur und ggf. einzigartige Vorteile oder Chancen. 5. Verwende klare und prägnante Sprache sowie handlungsorientierte Formulierungen. **Benutzereingaben:** {{Stellenanforderungen}}"
Leitfaden für neue Mitarbeiter,Erstelle einen Leitfaden für neue Mitarbeiter zur effektiven Zusammenarbeit mit der Führungsebene.,Personalwesen,"**Aufgabe:** Erstelle einen Leitfaden für neue Mitarbeiter, der ihnen zeigt, wie sie effektiv mit der Führungsebene zusammenarbeiten und diese unterstützen können.
**Anweisungen:** 1. Verstehe die Kommunikationspräferenzen der Führungskraft (z. B. E-Mail, persönliches Gespräch, Telefon, Messaging-Apps) und passe dich daran an. 2. Sei prägnant und gut vorbereitet – komme schnell zum Wesentlichen. 3. Antizipiere die Bedürfnisse der Führungskraft, indem du dich über deren Prioritäten, Kalender und anstehende Fristen informierst. 4. Sei zuverlässig und halte deine Zusagen ein, um Vertrauen aufzubauen. 5. Bewahre stets Vertraulichkeit, insbesondere bei sensiblen Informationen. 6. Sei proaktiv bei der Lösung von Problemen und bringe durchdachte Vorschläge oder Empfehlungen ein. 7. Bleibe auch in stressigen Situationen professionell und souverän. 8. Suche kontinuierlich nach Möglichkeiten, um der Führungskraft die Arbeit zu erleichtern, z. B. durch Prozessoptimierungen und zielgerichtetes ‘Managing Up’. **Benutzereingaben:** {{Titel oder Rolle des Managers}} {{Firmen- oder Abteilungsname}} {{Wichtige Punkte, Aktionen und Prioritäten für Mitarbeiter}}"
Interviewfragen,Erstelle eine Liste von Interviewfragen für einen potenziellen Mitarbeiter.,Personalwesen,"**Aufgabe:** Schreibe ein starkes Empfehlungsschreiben für einen ehemaligen Mitarbeiter oder Kollegen, das seine Fähigkeiten, Leistungen und positiven Eigenschaften hervorhebt, um ihm zu helfen, eine neue Position zu sichern. 

**Anweisungen:** 

1. Beginne mit einer herzlichen Begrüßung und erkläre deine Beziehung zu der Person, die du empfiehlst, einschließlich wie lange du sie kennst und in welcher Funktion. 
2. Hebe die wichtigsten Stärken, Fähigkeiten und Leistungen der Person hervor, die für die Position relevant sind, die sie anstreben. 
3. Gib spezifische Beispiele dafür, wie die Person diese Qualitäten in ihrer Arbeit mit dir gezeigt hat. 
4. Betone die positiven Charaktereigenschaften der Person, wie ihre Arbeitsmoral, Zuverlässigkeit und Fähigkeit, gut mit anderen zusammenzuarbeiten. 
5. Schließe den Brief, indem du deine starke Empfehlung ausdrückst und deinen Glauben, dass die Person eine wertvolle Bereicherung für jede Organisation sein würde. 

**Benutzereingaben:** {{Name der Person, die du empfiehlst}}, {{Position oder Titel, die die Person anstrebt}}, {{Fähigkeiten oder Erfahrungen der Person}}"
CRM-Strategie-Leitfaden,Erstelle einen detaillierten CRM-Strategie-Leitfaden.,Personalwesen,"**Aufgabe:** Erstelle einen detaillierten CRM-Strategie-Leitfaden für Fachleute auf mittlerem Niveau, um Kundeninteraktionen zu optimieren und Loyalität zu fördern. Der Leitfaden sollte handlungsorientierte Schritte und Best Practices in einem professionellen und ansprechenden Ton präsentieren.
**Anweisungen:**
1. **Kundensegmentierung und -profilierung** – Erkläre, wie Kunden effektiv kategorisiert werden können, um Dienstleistungen und Marketingstrategien zu personalisieren.
2. **Personalisierte Kommunikationskanäle** – Beschreibe Methoden zur Bereitstellung gezielter und bedeutungsvoller Interaktionen über verschiedene Touchpoints.
3. **Datengestützte Entscheidungsfindung** – Hebe die Rolle der Analyse bei der Gestaltung von Kundenbeziehungsstrategien und der Verbesserung der Ergebnisse hervor.
4. **Mitarbeiterschulung und -einbindung** – Betone die Bedeutung der Ausstattung von Teams mit CRM-Tools und der Förderung einer kundenorientierten Denkweise.
5. **Kontinuierliches Feedback und Verbesserung** – Biete Strategien zur Erhebung von Erkenntnissen und zur Verfeinerung von CRM-Prozessen für langfristigen Erfolg.
Jeder Abschnitt sollte klare Erklärungen und praktische Anleitungen bieten, um Fachleute mit einer strukturierten Roadmap auszustatten, um ihre CRM-Effektivität zu verbessern."
Mitarbeiter-Leistungsbeurteilung,Erstellen Sie eine Mitarbeiter-Leistungsbeurteilung für alle Abteilungen Ihres Unternehmens.,Personalwesen,"Sie sind ein Personalmanager. Bitte erstellen Sie eine Mitarbeiter-Leistungsbeurteilung für jede Abteilung des Unternehmens ""{{Unternehmen}}"""
Mitarbeiterbindung und -engagement,"Generieren Sie Ideen, um Mitarbeiter in Ihrem Unternehmen zu engagieren und zu binden.",Personalwesen,"Sie sind ein Personalmanager. Bitte generieren Sie 10 Ideen zur Bindung und zum Engagement von Mitarbeitern für das Unternehmen ""{{Unternehmen}}"". Bitte präsentieren Sie die Ergebnisse in einer Markdown-Tabelle mit den Spalten: Idee, Ideenbeschreibung, benötigte Ressourcen, geschätzte Kosten in USD."
Mitarbeiterentwicklungsplan,Erstellen Sie einen Mitarbeiterentwicklungsplan für eine bestimmte Jobrolle in Ihrem Unternehmen.,Personalwesen,"Sie sind ein Personalmanager. Bitte erstellen Sie einen Mitarbeiterentwicklungsplan für die Jobrolle ""{{Jobrolle}}"" im Unternehmen ""{{Unternehmen}}"". Präsentieren Sie die Ergebnisse in einem Zeitplan und fügen Sie Folgendes hinzu: Abteilung, Entwicklungsbereiche, Ziele, Handlungsschritte, Zeitplan (Q1-Q4)."
Generator für Vorstellungsgesprächsfragen,Generieren Sie Vorstellungsgesprächsfragen für eine bestimmte Jobrolle.,Personalwesen,"Sie sind ein Personalmanager. Bitte generieren Sie Vorstellungsgesprächsfragen für die Jobrolle ""{{Jobrolle}}"" für das Unternehmen ""{{Unternehmen}}"". Bitte präsentieren Sie die Ergebnisse in einer Markdown-Tabelle mit den Spalten: Vorstellungsgesprächsfrage, Fachgebiet, Kategorie"
Value Proposition Canvas Analyse,Erhalte eine detaillierte Analyse und Strategie für dein Produkt unter Verwendung des Value Proposition Canvas.,Produktmanagement,"Du bist ein erfahrener Produktmanager mit Expertise im Aufbau von Strategien und der Identifizierung und Verfolgung wichtiger Metriken mithilfe des Value Proposition Canvas. Deine Aufgabe ist es, eine detaillierte Analyse und Strategie für mein Produkt unter Verwendung des Value Proposition Canvas durchzuführen. Verwende Fallstudien oder Beispiele, die auf mein Produkt angewendet werden.
 

 Hier ist die Beschreibung deines Produkts: {{Beschreibung deines Produkts}}. Die Analyse und Strategie werden basierend auf dieser Beschreibung erstellt."
